c1,c2,acc,s1,s2,nq_mean
0.79,0.8400000000000001,0.5052426120267453,0.4053364297217715,0.31617744653530966,20
0.8900000000000001,0.8400000000000001,0.5583852170805549,0.3064400728357908,0.4505096823296104,34
0.8900000000000001,0.8400000000000001,0.5882432117714216,0.39398259189271356,0.46852311062431534,54
0.9000000000000001,0.79,0.5909871810881899,0.3791167734150188,0.5590847223283171,52
0.9000000000000001,0.8400000000000001,0.6555622733342699,0.500657072471204,0.5938970175299354,58
0.8900000000000001,0.8900000000000001,0.7030122750868526,0.6188111778158946,0.5827401728231509,58
0.9000000000000001,0.8900000000000001,0.7302150333361752,0.6619659791490138,0.629134165776151,58
0.79,0.8400000000000001,0.5246013723557517,0.40469468469765535,0.38840882753094813,21
0.9000000000000001,0.79,0.5527300518613745,0.2954838578614203,0.5033255103741578,37
0.79,0.8400000000000001,0.561386358797939,0.48918102869334423,0.4388828965520694,49
0.8400000000000001,0.8400000000000001,0.5976763231996689,0.5095147378463878,0.470522325240353,55
0.8900000000000001,0.8900000000000001,0.6449288434826185,0.4298323360498462,0.553485797648674,58
0.8900000000000001,0.8900000000000001,0.6951098848108689,0.6202870778135123,0.549298556277219,58
0.9000000000000001,0.8500000000000001,0.7285359273845944,0.6332217793460015,0.7397784465453636,56
0.8400000000000001,0.79,0.5198195669940886,0.3124757694241828,0.4643136166449282,17
0.9400000000000002,0.8400000000000001,0.5460599267152599,0.20777809611072426,0.4294748195748313,35
0.9000000000000001,0.8400000000000001,0.5778596412376971,0.338741358841571,0.4705216048899134,50
0.8600000000000001,0.8900000000000001,0.6104674426623908,0.4668828306288745,0.44070737913485986,54
0.8400000000000001,0.8900000000000001,0.6543212174925024,0.6155286478897954,0.48728916440656056,58
0.9000000000000001,0.8,0.6838150620428869,0.565119139004149,0.7230471344781287,58
0.9400000000000002,0.8900000000000001,0.7454700918697269,0.5746318749629978,0.6957669269080629,58
0.9400000000000002,0.79,0.5247011118410101,0.18666467206743642,0.45225489506914435,20
0.9000000000000001,0.74,0.5414777608306539,0.29345774703359817,0.5437023071593313,37
0.9000000000000001,0.8900000000000001,0.5741116942030872,0.3341619797525307,0.3837170474315891,46
0.8900000000000001,0.8900000000000001,0.6187902963574411,0.43727685520372467,0.45094913800731967,54
0.8400000000000001,0.8900000000000001,0.6437866585257102,0.5648475333772132,0.49992794705495,58
0.9000000000000001,0.8900000000000001,0.7017247771351636,0.533234663234663,0.6453875069685947,58
0.9400000000000002,0.8900000000000001,0.7417941069532097,0.5958629921986796,0.660350528541226,58
0.79,0.8900000000000001,0.5318009502581145,0.43901417853577906,0.2972274403761501,24
0.9000000000000001,0.8400000000000001,0.5439924236200273,0.29904106970775746,0.3931523668031707,38
0.8400000000000001,0.8900000000000001,0.5694885136483905,0.42935849056603764,0.363955919209789,49
0.8900000000000001,0.8900000000000001,0.6242086905597761,0.44194542640839724,0.4657114423755851,56
0.8900000000000001,0.8900000000000001,0.6509529663213725,0.5138604665905919,0.48974313000085384,58
0.8900000000000001,0.8600000000000001,0.6850590755588992,0.5689937254901959,0.6221350151157912,58
0.8900000000000001,0.9000000000000001,0.7417020139975234,0.7166105058706698,0.6199435641877499,58
