,fpr,tpr
0,0.0,0.0
1,0.017543859649122806,0.42105263157894735
2,0.10526315789473684,0.631578947368421
3,0.10526315789473684,0.6842105263157895
4,0.12280701754385964,0.7368421052631579
5,0.14035087719298245,0.7368421052631579
6,0.17543859649122806,0.7368421052631579
7,0.21052631578947367,0.8421052631578947
8,0.2807017543859649,0.9473684210526315
9,0.3333333333333333,0.9473684210526315
10,0.3508771929824561,0.9473684210526315
11,0.40350877192982454,1.0
12,0.43859649122807015,1.0
13,0.5614035087719298,1.0
14,0.5789473684210527,1.0
15,0.6842105263157895,1.0
16,1.0,1.0
