Problem N Confidence Lower Upper Mean  
SCZvsSAFF 6 0.733124365 0.7683428600000001 0.75073359 
SCZvsSAFF 12 0.99 0.8313092330000001 0.87833911 0.8548242375 
SCZvsSAFF 18 0.84923715 0.89086749  0.8700523549999999  
SCZvsREST 0.99 0.8449124604999999 0.868956085 0.856934285
SCZ+SAFFvsREST 6 0.99 0.88795924 0.89931849 0.89363888  
SCZ+SAFFvsREST 12 0.99 0.922253265 0.9377972949999999 0.93002526 
SCZ+SAFFvsREST 18 0.99 0.93783593 0.95142553 0.9446307649999999 
