,D1,D2,D5
D1,"0.974 (0.961, 0.987)","0.016 (0.003, 0.029)","0.01 (0.008, 0.012)"
D2,"0.005 (0.001, 0.009)","0.942 (0.909, 0.975)","0.052 (0.022, 0.082)"
D5,"0.093 (0.062, 0.124)","0.016 (0.003, 0.029)","0.891 (0.856, 0.926)"
