,fpr,tpr
0,0.0,0.0
1,0.0,0.0070921985815602835
2,0.0,0.02127659574468085
3,0.0,0.03546099290780142
4,0.0,0.05673758865248227
5,0.0,0.07092198581560284
6,0.0,0.0851063829787234
7,0.0,0.09929078014184398
8,0.0,0.1276595744680851
9,0.0,0.14184397163120568
10,0.0,0.18439716312056736
11,0.0,0.2127659574468085
12,0.0,0.22695035460992907
13,0.0,0.23404255319148937
14,0.0,0.2553191489361702
15,0.0,0.2695035460992908
16,0.0,0.2765957446808511
17,0.0,0.3191489361702128
18,0.0,0.3262411347517731
19,0.0,0.3475177304964539
20,0.0,0.3546099290780142
21,0.0,0.3829787234042553
22,0.0,0.3900709219858156
23,0.0,0.40425531914893614
24,0.0,0.45390070921985815
25,0.0,0.48226950354609927
26,0.0,0.48936170212765956
27,0.0,0.5106382978723404
28,0.0,0.5177304964539007
29,0.0,0.5460992907801419
30,0.0,0.5602836879432624
31,0.0,0.5886524822695035
32,0.0,0.6028368794326241
33,0.0,0.624113475177305
34,0.05,0.624113475177305
35,0.05,0.6453900709219859
36,0.05,0.6595744680851063
37,0.05,0.6950354609929078
38,0.1,0.6950354609929078
39,0.1,0.7092198581560284
40,0.1,0.723404255319149
41,0.15,0.7304964539007093
42,0.15,0.7446808510638298
43,0.15,0.7659574468085106
44,0.15,0.7872340425531915
45,0.25,0.7872340425531915
46,0.25,0.8014184397163121
47,0.35,0.8014184397163121
48,0.35,0.851063829787234
49,0.35,0.8652482269503546
50,0.35,0.9290780141843972
51,0.4,0.9290780141843972
52,0.4,0.950354609929078
53,0.45,0.950354609929078
54,0.45,0.9716312056737588
55,0.5,0.9716312056737588
56,0.5,0.9858156028368794
57,0.6,0.9858156028368794
58,0.6,1.0
59,0.7,1.0
60,0.8,1.0
61,0.9,1.0
62,1.0,1.0
