,D1,D2,D5
D1,"0.976 (0.965, 0.987)","0.014 (0.003, 0.025)","0.01 (0.01, 0.01)"
D2,"0.005 (0.002, 0.008)","0.945 (0.913, 0.977)","0.05 (0.021, 0.079)"
D5,"0.097 (0.063, 0.131)","0.014 (0.003, 0.025)","0.889 (0.852, 0.926)"
