,B1,B2,B3
B1,"0.897 (0.891, 0.903)","0.052 (0.048, 0.056)","0.051 (0.046, 0.056)"
B2,"0.022 (0.019, 0.025)","0.85 (0.834, 0.866)","0.128 (0.114, 0.142)"
B3,"0.139 (0.124, 0.154)","0.052 (0.048, 0.056)","0.809 (0.795, 0.823)"
