,recon
0,-1.3415841584158417
1,-1.4663461538461537
2,-0.2318840579710145
3,-0.13043478260869565
4,-1.5893719806763285
5,0.21182266009852216
6,-1.4444444444444444
7,-0.2107843137254902
8,-0.4782608695652174
9,-0.6811594202898551
10,-0.8058252427184466
11,-0.8995215311004785
12,-1.4854368932038835
13,-0.7170731707317073
14,-0.33980582524271846
15,-1.0631067961165048
16,0.782608695652174
17,-0.875
18,-1.1067961165048543
19,-1.4784688995215312
20,0.7038834951456311
21,-0.7894736842105263
22,-0.33653846153846156
23,-1.5096153846153846
24,0.33816425120772947
25,-0.9134615384615384
26,-0.5769230769230769
27,-0.8990384615384616
28,-1.3883495145631068
29,1.1796116504854368
30,-1.5144230769230769
31,0.8952380952380953
32,0.6333333333333333
33,-1.6956521739130435
34,-1.6571428571428573
35,-1.3560975609756099
36,-1.429951690821256
37,0.75
38,-0.1642512077294686
39,-0.9759615384615384
40,-0.7647058823529411
41,-0.9663461538461539
42,-1.144927536231884
43,-1.5631067961165048
44,-1.2952380952380953
45,-0.7718446601941747
46,-0.49029126213592233
47,-0.17391304347826086
48,0.48792270531400966
49,-1.5769230769230769
50,-0.7170731707317073
51,-1.2077294685990339
52,-1.2475728155339805
53,-1.2935323383084578
54,-1.7942583732057416
55,-1.1626794258373205
56,-1.6896551724137931
57,-0.2727272727272727
58,0.580952380952381
59,-1.7259615384615385
60,-0.9902912621359223
61,-1.0049261083743843
62,-1.448780487804878
63,-0.14832535885167464
64,-0.5902439024390244
65,-1.5240384615384615
66,0.06666666666666667
67,-0.6097560975609756
68,-0.15865384615384615
69,-1.3463414634146342
70,0.11961722488038277
71,-1.0240384615384615
72,-1.5502392344497609
73,-1.5384615384615385
74,-0.6492890995260664
75,-0.8947368421052632
76,-1.078048780487805
77,-0.6698564593301436
78,-1.4711538461538463
79,0.25120772946859904
80,-1.3768115942028984
81,-1.6346153846153846
82,-1.077294685990338
83,-0.6394230769230769
84,-0.7019230769230769
85,-1.1601941747572815
86,0.2
87,0.0048543689320388345
88,1.105263157894737
89,-0.3058252427184466
90,0.5942028985507246
91,0.5388349514563107
92,0.9142857142857143
93,0.45145631067961167
94,-0.6650485436893204
95,0.5365853658536586
96,0.5904761904761905
97,-0.5902439024390244
98,0.3448275862068966
99,-0.30392156862745096
100,-0.6650717703349283
101,0.6009615384615384
102,0.5769230769230769
103,0.5913461538461539
104,1.2107843137254901
105,1.1571428571428573
106,0.6359223300970874
107,-0.5741626794258373
108,-0.42995169082125606
109,-0.13658536585365855
110,1.1576354679802956
111,0.4682926829268293
112,0.6176470588235294
113,-0.5285714285714286
114,-0.8647342995169082
115,0.22966507177033493
116,1.173913043478261
117,-0.18932038834951456
118,0.23923444976076555
119,0.07177033492822966
120,0.5192307692307693
121,-0.2571428571428571
122,0.2692307692307692
123,0.2644230769230769
124,-0.019230769230769232
125,0.5120772946859904
126,-0.018957345971563982
127,-0.9411764705882353
128,0.4855769230769231
129,0.6990291262135923
130,0.4095238095238095
131,-0.19230769230769232
132,-0.3492822966507177
133,0.4396135265700483
134,-0.7596153846153846
135,1.1213592233009708
136,-0.6747572815533981
137,0.18446601941747573
138,-0.39705882352941174
139,0.25961538461538464
140,0.4926829268292683
141,0.9563106796116505
142,0.6019417475728155
143,-0.9138755980861244
144,-0.3125
145,0.30434782608695654
146,0.9571428571428572
147,0.2912621359223301
148,0.6298076923076923
149,1.277511961722488
150,0.9712918660287081
151,-0.8605769230769231
152,0.29523809523809524
153,0.5362318840579711
154,0.4230769230769231
155,0.919047619047619
156,1.0476190476190477
157,0.35406698564593303
158,1.1634615384615385
159,-0.6826923076923077
160,1.4106280193236715
161,0.5776699029126213
162,0.4855769230769231
163,1.0
164,-0.75
165,0.4223300970873786
166,0.13333333333333333
167,1.0097087378640777
168,0.9473684210526315
169,0.43478260869565216
170,-0.5454545454545454
171,0.6201923076923077
