,B1,B2,B3
B1,"0.934 (0.903, 0.965)","0.036 (0.015, 0.057)","0.03 (0.009, 0.051)"
B2,"0.011 (0.005, 0.017)","0.89 (0.85, 0.93)","0.099 (0.061, 0.137)"
B3,"0.099 (0.056, 0.142)","0.036 (0.015, 0.057)","0.866 (0.818, 0.914)"
