,D1,D2,D5
D1,"0.931 (0.9, 0.962)","0.042 (0.023, 0.061)","0.027 (0.005, 0.049)"
D2,"0.01 (0.004, 0.016)","0.932 (0.898, 0.966)","0.058 (0.028, 0.088)"
D5,"0.146 (0.1, 0.192)","0.042 (0.023, 0.061)","0.812 (0.764, 0.86)"
