,recon
0,0.0
1,1.8
2,0.15
3,-0.1875
4,0.6
5,0.0
6,0.0
7,0.13043478260869565
8,0.0
9,0.0
10,0.15384615384615385
11,0.08333333333333333
12,0.07692307692307693
13,0.09090909090909091
14,0.5833333333333334
15,0.2857142857142857
16,-0.10526315789473684
17,0.7368421052631579
18,0.29411764705882354
19,0.5833333333333334
20,-0.11764705882352941
21,0.21428571428571427
22,0.3333333333333333
23,0.5833333333333334
24,0.6666666666666666
25,0.0
26,-0.07692307692307693
27,0.3
28,-0.15384615384615385
29,0.15384615384615385
30,-0.23529411764705882
31,0.0
32,0.75
33,-0.07692307692307693
34,-0.25
35,0.0
36,-0.4117647058823529
37,-0.23529411764705882
38,0.4
39,0.3125
40,0.08333333333333333
41,0.75
42,0.4444444444444444
43,0.6363636363636364
44,-0.11764705882352941
45,-0.4117647058823529
46,0.0
47,1.0
48,-0.07692307692307693
49,0.6363636363636364
50,0.0
51,0.4
52,0.25
53,0.5555555555555556
54,0.6666666666666666
55,-0.13333333333333333
56,-0.17647058823529413
57,-0.4666666666666667
58,0.13333333333333333
59,-0.25
60,-0.3125
61,-0.05
62,-0.25
63,-0.375
64,0.5384615384615384
65,0.0
66,0.0
67,0.09523809523809523
68,-0.2
69,-0.23076923076923078
70,-0.3684210526315789
71,0.6
72,-0.07692307692307693
73,0.4
74,-0.0625
75,0.0
76,-0.06666666666666667
77,-0.29411764705882354
78,0.4375
79,-0.125
80,-0.125
81,-0.11764705882352941
82,-0.35714285714285715
83,0.125
84,0.2
85,-0.15789473684210525
86,-0.23529411764705882
87,1.0476190476190477
88,0.11764705882352941
89,0.3125
90,-0.32
91,0.2
92,-0.0625
93,0.4117647058823529
94,-0.2
95,0.45454545454545453
96,0.3333333333333333
97,0.18181818181818182
98,0.0
99,-0.05263157894736842
100,-0.058823529411764705
101,0.2
102,0.5555555555555556
103,-0.07692307692307693
104,0.2727272727272727
105,-0.46153846153846156
106,-0.2
107,0.4444444444444444
108,0.5454545454545454
109,0.5833333333333334
110,0.0
111,0.0625
112,0.5
