,recon
0,-0.125
1,2.0
2,0.25
3,-0.08333333333333333
4,0.6666666666666666
5,-0.375
6,-0.14285714285714285
7,-0.05
8,-0.14285714285714285
9,-0.11764705882352941
10,0.0
11,0.07692307692307693
12,-0.21428571428571427
13,0.45454545454545453
14,0.5454545454545454
15,0.2857142857142857
16,0.3888888888888889
17,0.8095238095238095
18,0.5625
19,0.6666666666666666
20,-0.2
21,0.0
22,0.09090909090909091
23,0.36363636363636365
24,0.25
25,-0.045454545454545456
26,-0.25
27,0.1
28,0.08333333333333333
29,0.0
30,-0.1875
31,-0.26666666666666666
32,0.7777777777777778
33,0.0
34,0.0
35,-0.2
36,-0.0625
37,-0.3076923076923077
38,0.4444444444444444
39,-0.14285714285714285
40,0.18181818181818182
41,0.6
42,0.5714285714285714
43,0.9
44,-0.2857142857142857
45,-0.14285714285714285
46,-0.1875
47,0.8888888888888888
48,0.07692307692307693
49,1.0
50,-0.21428571428571427
51,-0.1111111111111111
52,0.5
53,0.4444444444444444
54,0.9411764705882353
55,-0.13333333333333333
56,-0.125
57,0.0
58,0.26666666666666666
59,-0.29411764705882354
60,-0.23076923076923078
61,-0.3684210526315789
62,-0.2857142857142857
63,-0.3157894736842105
64,0.3076923076923077
65,0.125
66,0.0
67,0.5263157894736842
68,-0.07142857142857142
69,0.08333333333333333
70,0.058823529411764705
71,0.9285714285714286
72,0.25
73,0.375
74,0.4375
75,0.18181818181818182
76,-0.13333333333333333
77,0.0
78,0.375
79,0.3333333333333333
80,-0.3125
81,-0.06666666666666667
82,0.0
83,0.06666666666666667
84,-0.041666666666666664
85,-0.2777777777777778
86,-0.2
87,0.8888888888888888
88,0.2
89,0.06666666666666667
90,-0.34782608695652173
91,0.09090909090909091
92,-0.125
93,0.25
94,-0.1
95,0.0
96,0.125
97,0.3333333333333333
98,-0.0625
99,0.0625
100,-0.6666666666666666
101,0.2222222222222222
102,0.5714285714285714
103,-0.5
104,0.2
105,-0.25
106,-0.3125
107,0.5
108,0.5
109,0.625
110,0.0
111,-0.07142857142857142
112,0.3888888888888889
113,-0.14285714285714285
114,0.7777777777777778
115,0.0
116,-0.6153846153846154
117,0.38461538461538464
118,0.7391304347826086
119,0.5
120,0.0
121,0.3
122,0.0
123,-0.25
124,-0.08333333333333333
125,-0.06666666666666667
126,-0.11764705882352941
127,0.15384615384615385
128,0.42857142857142855
129,-0.2
130,-0.11764705882352941
131,0.35294117647058826
132,-0.4166666666666667
133,0.3125
134,-0.09090909090909091
135,0.6666666666666666
136,0.4117647058823529
137,0.09090909090909091
138,0.375
139,0.625
140,0.11764705882352941
141,-0.13333333333333333
142,0.0
143,0.18181818181818182
144,0.0
145,-0.5
146,-0.15789473684210525
147,-0.13333333333333333
148,-0.13333333333333333
149,-0.08333333333333333
150,-0.14285714285714285
151,0.07692307692307693
152,-0.06666666666666667
153,-0.05
154,-0.06666666666666667
155,0.3125
156,-0.07692307692307693
157,-0.07692307692307693
158,0.09090909090909091
159,0.18181818181818182
160,-0.058823529411764705
161,0.5
162,0.3076923076923077
163,0.125
164,-0.16666666666666666
165,-0.06666666666666667
166,1.1
167,0.21052631578947367
168,0.1
169,0.2727272727272727
170,0.25
171,0.3076923076923077
172,0.0625
173,0.36363636363636365
174,0.36363636363636365
175,0.46153846153846156
176,0.5
177,-0.17647058823529413
178,0.0
179,0.0
180,-0.125
181,0.05555555555555555
182,0.2
183,-0.35714285714285715
184,0.07692307692307693
185,0.1111111111111111
186,0.0
187,-0.1
188,0.4444444444444444
189,0.75
190,-0.13333333333333333
191,-0.23529411764705882
192,0.13333333333333333
193,0.18181818181818182
194,-0.1
195,0.5714285714285714
196,1.5
197,-0.125
198,-0.15384615384615385
199,-0.14285714285714285
200,0.058823529411764705
201,0.2222222222222222
202,0.05555555555555555
203,-0.125
204,-0.14285714285714285
205,0.6428571428571429
206,-0.1
207,0.1111111111111111
208,-0.07142857142857142
209,0.6666666666666666
210,0.5263157894736842
211,-0.07142857142857142
212,-0.14285714285714285
213,-0.07142857142857142
214,0.6666666666666666
215,-0.3076923076923077
216,0.6
217,0.0
218,0.0
219,0.5
220,0.625
221,0.07142857142857142
222,0.15384615384615385
223,0.07142857142857142
224,0.07692307692307693
225,0.08333333333333333
226,0.2
227,-0.6
228,0.9090909090909091
229,0.6153846153846154
230,0.0
231,0.2222222222222222
232,0.46153846153846156
233,-0.17647058823529413
234,0.07692307692307693
235,0.125
236,-0.3076923076923077
237,-0.3
238,-0.26666666666666666
239,0.13333333333333333
240,1.0
241,0.05263157894736842
242,0.0
243,0.75
244,0.05
245,-0.07142857142857142
246,-0.1875
247,-0.1
248,0.375
249,0.08333333333333333
250,-0.631578947368421
251,-0.17647058823529413
252,-0.25
253,0.5
254,0.12
255,0.06666666666666667
256,0.375
257,-0.1875
258,0.07692307692307693
259,0.45454545454545453
260,0.3076923076923077
261,0.21428571428571427
262,-0.25
263,0.0
264,0.14285714285714285
265,0.0625
266,0.2857142857142857
267,-0.08333333333333333
268,0.0
269,0.09090909090909091
270,0.0
271,0.0
272,-0.16666666666666666
273,0.5789473684210527
274,-0.14285714285714285
275,0.8571428571428571
276,0.1111111111111111
277,0.0
278,-0.06666666666666667
279,-0.23076923076923078
280,0.7142857142857143
281,1.0
282,0.3333333333333333
283,0.0
284,-0.1
285,0.0
286,0.06666666666666667
287,0.6363636363636364
288,-0.0625
289,0.058823529411764705
290,0.23076923076923078
291,-0.42857142857142855
292,0.3333333333333333
293,0.4444444444444444
294,0.08333333333333333
295,0.18181818181818182
296,-0.14285714285714285
297,-0.06666666666666667
298,-0.07142857142857142
299,-0.10526315789473684
300,-0.09090909090909091
301,0.36363636363636365
302,0.6363636363636364
303,-0.21428571428571427
304,0.4444444444444444
305,-0.1875
306,0.5
307,0.5454545454545454
308,-0.8
309,0.5714285714285714
310,-0.1875
311,1.25
312,0.0
313,-0.3333333333333333
314,-0.2222222222222222
315,-0.125
316,-0.0625
317,0.2
318,0.6
319,-0.13333333333333333
320,0.5
321,-0.23529411764705882
322,0.1111111111111111
323,-0.06666666666666667
324,0.5
325,-0.5
326,-0.2
327,-0.4117647058823529
328,-0.14285714285714285
329,-0.45
330,0.2727272727272727
331,-0.38461538461538464
332,0.375
333,0.0
334,0.2727272727272727
335,-0.1
336,0.4444444444444444
337,0.9
338,-0.29411764705882354
339,-0.29411764705882354
340,0.5555555555555556
341,-0.15384615384615385
342,-0.6428571428571429
343,-0.3076923076923077
344,0.10526315789473684
345,-0.23076923076923078
346,1.0
347,-0.2727272727272727
348,0.2727272727272727
349,-0.17647058823529413
350,-0.0625
351,-0.14285714285714285
352,-0.26666666666666666
353,0.125
354,0.0
355,-0.29411764705882354
356,0.4
357,-0.125
358,0.5
359,-0.21428571428571427
360,-0.38461538461538464
361,0.7142857142857143
362,0.06666666666666667
363,0.45454545454545453
364,-0.0625
365,0.21052631578947367
366,0.125
367,0.5454545454545454
368,-0.13333333333333333
369,0.07142857142857142
370,-0.17647058823529413
371,-0.2
372,0.1111111111111111
373,0.0
374,0.0
375,0.3076923076923077
376,0.3076923076923077
377,0.07142857142857142
378,0.13333333333333333
379,0.375
380,0.0
381,-0.058823529411764705
382,0.4
383,0.6
384,-0.14285714285714285
385,-0.06666666666666667
386,0.07692307692307693
387,-0.5625
388,0.8888888888888888
389,0.0
390,0.17647058823529413
391,0.25
392,0.35294117647058826
393,0.0
394,0.09090909090909091
395,0.4
396,-0.2857142857142857
397,0.0
398,0.3076923076923077
399,0.08333333333333333
400,0.0
401,0.3076923076923077
402,0.0
403,0.45454545454545453
404,-0.23529411764705882
405,0.0
406,0.11764705882352941
407,0.7857142857142857
408,0.4444444444444444
409,-0.23529411764705882
410,0.75
411,-0.045454545454545456
412,-0.15384615384615385
413,0.6666666666666666
414,0.0
415,0.125
416,-0.15384615384615385
417,0.3333333333333333
418,-0.17647058823529413
419,0.0
420,-0.25
421,0.21428571428571427
422,-0.3125
423,-0.16666666666666666
424,-0.23076923076923078
425,-0.2857142857142857
426,0.10526315789473684
427,-0.05555555555555555
428,0.09090909090909091
429,-0.2
430,-0.08333333333333333
431,0.2
432,-0.25
433,-0.5384615384615384
434,0.5
435,0.07692307692307693
436,-0.1875
437,-0.3333333333333333
438,0.5555555555555556
439,-0.16666666666666666
440,0.8461538461538461
441,0.0
442,0.55
443,0.3333333333333333
444,0.06666666666666667
445,-0.2222222222222222
446,0.5714285714285714
447,0.4375
448,-0.17647058823529413
449,-0.25
450,0.47058823529411764
451,-0.125
452,0.4375
453,-0.375
454,1.1666666666666667
455,0.3333333333333333
456,-0.09090909090909091
457,0.4444444444444444
458,1.0625
459,0.07142857142857142
460,0.0
461,-0.46153846153846156
462,0.25
463,-0.13333333333333333
464,-0.38095238095238093
465,1.0
466,-0.45454545454545453
467,-0.16666666666666666
468,0.6
469,-0.13333333333333333
470,0.65
471,0.2727272727272727
472,-0.5833333333333334
473,-0.5384615384615384
474,0.0
475,0.0
476,-0.0625
477,0.0
478,1.3333333333333333
479,0.3076923076923077
480,0.2727272727272727
481,0.23809523809523808
482,-0.3333333333333333
483,-0.058823529411764705
484,-0.8
485,0.0
486,-0.21428571428571427
487,-0.16666666666666666
488,0.4782608695652174
489,0.25
490,-0.17647058823529413
491,0.0
492,0.2
493,0.5
494,-0.17647058823529413
495,-0.2
496,-0.09090909090909091
497,-0.23076923076923078
498,-0.3125
499,0.625
500,0.7619047619047619
501,0.8181818181818182
502,-0.11764705882352941
503,0.05555555555555555
504,-0.07142857142857142
505,0.0
506,-0.08333333333333333
507,-0.23076923076923078
508,-0.2
509,0.8888888888888888
510,-0.06666666666666667
511,-0.46153846153846156
512,0.6
513,0.07692307692307693
514,-0.13333333333333333
515,0.3333333333333333
516,0.07142857142857142
517,-0.125
518,-0.3076923076923077
519,-0.16666666666666666
520,0.36363636363636365
521,0.45454545454545453
